Keyword,Mã HS,Dòng SP,Loại,Lớp 1,Lớp 2,Cluster_ID
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Kính Phản Xạ,38
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Lọ Thủy Tinh,11
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Đĩa Nền Thủy Tinh,25
"trang trí, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, điện thoại di, thoại di động, di động chất, động chất liệu, viền trang, thủy tinh kích, tinh kích thước, chất liệu thủy, liệu thủy tinh, trí thủy tinh",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Miếng Trang Trí,14
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Thông Thường,12
"thủy tinh, kích thước, trang trí, chất liệu thủy, điện thoại di, thoại di động, động chất liệu, trí camera điện, thước 62x20 70x57, camera điện thoại, di động chất, tinh kích, viền trang, tinh nền đĩa, kính",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Thủy Tinh,28
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, tấm, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Chắn Bụi,31
"đèn, crystal kt, glass kích thước, nắp khung, sưởi thủy tinh, pha lê finial, trang trí 1043014717052, lê finial crystal, kt sphi 30mm, lê connector crystal, nối pha lê, kt phi 65, trang trí 101317, pha lê connector, thủy tinh 19",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Nắp Đèn,3
"tấm kính, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, kính phản xạ, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, hình ảnh",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Tráng Phim,8
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Chuẩn,7
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, hình",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Tấm Kính Quét Hình,35
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, di động chất, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Sợi Thủy Tinh,15
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Mũi Cần Câu Thủy Tinh,24
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Cường Lực,41
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Kính Chiếu Ảnh,29
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Vỏ Đèn Sưởi Thủy Tinh,36
"nung silic công, nghiệp 02 05, cz160 36 06, kích thước phi944, thạch anh ja, thước phi944 750mm, ja cz160 36, silic công nghiệp, anh ja cz160, phi944 750mm nung, công nghiệp 02, nồi nấu kim, nấu kim loại, phi 944mm 680mm, thước phi 944mm",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Nồi Thạch Anh,42
"cố định, dây, định sản phẩm, chất liệu chủ, liệu chủ yếu, yếu thủy tinh, thủy tinh gia, gia cố nhựa, tp 70 glass, fiber 30 resin, nhựa tp 70, chủ yếu thủy, glass fiber 30, glass fiber rod, cố nhựa tp",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Dây Cố Định,16
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, tấm, kích thước 298, thước 298 15, kích thước 316, thước 316 11, bảo vệ",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Bảo Vệ,26
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Khay Kính,6
"bảo vệ, kính bảo, dính dạng miếng, vệ chất liệu, thuỷ tinh tự, tinh tự dính, dạng miếng kích, tự dính dạng, xuất lito technology, sản xuất lito, miếng kích thước, vệ chip điện, điện tử camera, tử camera module, chip điện tử",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Vỏ Bảo Vệ,52
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Thanh Kính Chuẩn,9
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Tấm Kính Cửa,30
